"000","Pnuematic","Pnuematic Flow Control","F03C.B42.644","SMC","AS2201F-01-06","-","90°_Throttle OUT_1/8 thread_6mm tubing"
"001","Pnuematic","Pnuematic Flow Control","F03C.B44.097","SMC","AS1201F-M5-04","-","90°_Throttle OUT_M5 thread_4mm tubing"
"010","Pnuematic","Pnuematic Coupling","F03C.B62.174","SMC","KQ2L04-M5","-","90° elbow/ 5mm Thread / 4mm Tubing"
"014","Pnuematic","Pnuematic Coupling","F03C.B62.211","Festo","QSM-M7-4-I","-","Straight / 7mm Thread / 4mm Tubing"
"016","Pnuematic","Pnuematic Coupling","F03C.B60.793","Prosys","4200004230","-","Banjo Bolt / Fitting"
"020","Pnuematic","Pnuematic Gripper","F03C.B58.413","Festo / Prosys","5-5723001190","-","Bobbin Load > Table / Bobbin Load > WPC"
"042","Pnuematic","Pnuematic Cylinder","F03C.B48.484","Festo","DSW-32-80-PPV-A-B","-","Load Gripper Down > WPC / Horiz. > Scrap"
"043","Pnuematic","Pnuematic Cylinder","F03C.F51.052","Festo","ADVU-16-25-P-A","-","Load Gripper Rotate"
"044","Pnuematic","Pnuematic Cylinder","-","-","-","-","Term Conformer"
"045","Pnuematic","Pnuematic Cylinder","F03C.B48.487","Festo","DSNU-20-160-PPV-A","-","Bobbin Gripper Down > Table"
"046","Pnuematic","Pnuematic Cylinder","F03C.F51.055","Festo","DSNU-25-40-PPV-A","-","Bobbin Gripper Down > Nest"
"047","Pnuematic","Pnuematic Cylinder","F03C.B43.561","Festo","DSNU-25-200-PPV-A","-","Bobbin Gripper Horiz"
"048","Pnuematic","Pnuematic Cylinder","F03C.B60.386","Festo","DSNU-16-25-PPV-A","-","Bobbin Escapement"
"048","Pnuematic","Pnuematic Cylinder","F03C.B41.958","Festo","DSNU-16-25-PPV-A","-","Bobbin Escapement"
"053","Pnuematic","Pnuematic Cylinder","F03C.B20.726","Festo","ADVUL-32-20-P-A","-","Bobbin Support"
"054","Pnuematic","Pnuematic Cylinder","-","Festo","-","-","Table Shot Pin"
"060","Pnuematic","Pneumatic Cylinder","F03C.B52.853","Festo / Prosys","F415040090","-","Stop Station / Old Festo Part"
"060","Pnuematic","Pneumatic Cylinder","F03C.B52.853","SMC / Prosys","DKI 11036-C-001","-","Stop Station / New SMC Replacement"
"090","Pnuematic","Pnuematic Seal","F03C.B60.794","Prosys","F424001470","-","SEAL 5.16MM ID X 8MM OD X1.08MM THK"
"091","Pnuematic","Adapter Plate (Left)","F03C.B62.082","-","4289041250-CS","-","SMC adapter plate (left) to replace Festo"
"092","Pnuematic","Adapter Plate (Center)","F03C.B62.083","-","4289041230-CS","-","SMC adapter plate (center) to replace Festo"
"093","Pnuematic","Adapter Plate (Right)","F03C.B62.084","-","4289041240-CS","-","SMC adapter plate (right) to replace Festo"
"094","Pnuematic","Air Filter","F03C.F47.603","Festo","MS6-LFP-E","-","Filter Element 40 micron"
"095","Pnuematic","Air Filter","F03C.F47.602","Festo","MS6-LFP-C","-","Filter Element 5 micron"
"096","Pnuematic","Pneumatic Valve Block","F03C.B49.162","Festo","10P-10-4B-AS-R-Y-4M+HB","-","Complete Pneumatic Sol. Valve Block"
"097","Pnuematic","Pneumatic Solenoid Valve","F03C.B40.357","Festo","CPV10-M1H-5LS-M7","-","Pneumatic Solenoid Valve 1/4 PIPE,2 WAY,NP"
"100","Electrical","Reed Switch","F03C.B42.980","Festo","SMEO-4U-S-LED-24-B","-","Festo Cylindrical Reed Switch"
"110","Electrical","Proximity Switch","F03C.B59.261","IFM / Efector","IT5044","-","6.5x50mm/Smooth/White tip/Range 4mm"
"111","Electrical","Proximity Switch","F03C.B44.607","IFM / Efector","IE5329","-","M8x50/Threaded/Orange tip/Range 4mm"
"112","Electrical","Proximity Switch","F03C.B50.194","IFM / Efector","IE5287","-","M8x50/Threaded/Orange tip/Range 2mm"
"120","Electrical","Fiber Optic Amplifier","F03C.B43.728","IFM / Efector","OB5013","-","Obsolete"
"120","Electrical","Fiber Optic Amplifier","F03C.B43.728","IFM / Efector","OBF500","-","Replacement"
"121","Electrical","Fiber Optic","F03C.B54.496","Keyence","-","-","-"
"122","Electrical","Fiber Optic","F03C.B51.368","IFM / Efector","E20712","-","Straight,M3,Reflective"
"123","Electrical","Fiber Optic","F03C.D37.339","Keyence","FU-67TZ","-","Hex90°,M6,Reflective,Ø2.2mmx2 fiber"
"124","Electrical","Fiber Optic Amplifier","-","IFM Efector","OO5000","-","Fiber Optic Amplifier"
"125","Electrical","Fork Optic Sensor","F03C.B60.002","Baumer","FEG 12-24-15","-","Motor Home Sensor"
"126","Electrical","Fiber Optic","-","Banner","BAT13S","-","90° tip, Reflective, Ø0.062?x32?, Armored"
"127","Electrical","Fiber Optic","-","Banner","IT13S","-","Straight, Thru-Beam, Ø0.062?x32?, Armored"
"128","Electrical","Fiber Optic Amplifier","-","Banner","F1 B LM5-14","-","Scanner Block SBF1 / Power Block PBB / Logic Module LM5-14"
"130","Electrical","Motor","F03C.B58.050","Micromo","3042W012C 30/1 43:1 HEDS5500A06X0","-","Motor w/ Encoder"
"150","Electrical","Limit Switch (Mycom)","F03C.B41.585","BAUMER","MYCOM G75P/S35L","-","Term Depth Test @ Insertion"
"160","Electrical","Laser Sensor Amplifier","F03C.B59.045","Keyence","GV-21P","-","Laser Sensor Amplifier"
"161","Electrical","Laser Sensor Head","F03C.B59.089","Keyence","GV-H130","-","Laser Sensor Amplifier"
"190","Electrical","Reed Switch Clamp","F03C.F51.047","Festo","SMBR-16","-","16mm clamp for Cylindrical Reed Switch"
"191","Electrical","Reed Switch Clamp","F03C.B49.161","Festo","SMBR-20","-","20mm clamp for Cylindrical Reed Switch"
"192","Electrical","Reed Switch Clamp","F03C.B41.031","Festo","SMBR-25","-","25mm clamp for Cylindrical Reed Switch"
"193","Electrical","Module Base","F03C.B56.531","IFM / Efector","AC 5011","-","IFM / Efector I/O Module Base"
"194","Electrical","Input Module","-","IFM / Efector","AC 2505","-","IFM / Efector Input Module"
"195","Electrical","I/O Module","-","IFM / Efector","AC 2007","-","Obsolete"
"195","Electrical","I/O Module","-","IFM / Efector","AC 2507","-","Replacement"
"196","Electrical","Output Module","-","IFM / Efector","-","-","-"
"197","Electrical","I/O Module","-","IFM / Efector","AC 2514","-","IFM / Efector I/O Module"
"198","Electrical","Controller","-","ADI","6000.2","-","Vibratory Controller"
"199","Electrical","Badge Reader","F03C.B48.852","Prosys","5030000093","-","Badge Reader"
"200","Mechanical","Shock Absorber","F03C.B02.397","ACE","MC 150MH","-","Prefered"
"200","Mechanical","Shock Absorber","F03C.B40.746","ACE","MC 150M","-","Optional"
"201","Mechanical","Shock Absorber","F03C.B61.393","ACE","MC 25MH-880","-","Prefered"
"201","Mechanical","Shock Absorber","F03C.B43.960","ACE","MC 25M","-","Optional"
"202","Mechanical","Shock Absorber","F03C.A30.923","Festo","YSR-5-5-C","-","-"
"203","Mechanical","Shock Absorber","-","Festo","DYSC-5-5-Y1F (548011)","-","Terminal Rotate Shock"
"210","Mechanical","Coupling","F03C.B61.491","Rotex","GS14/98/8X10/2.0","-","Bobbin Placement Motor Coupling"
"211","Mechanical","Coupling","F03C.B43.615","Festo","FK-M6","-","Self-Aligning Rod Coupler"
"212","Mechanical","Coupling","F03C.B42.717","Festo","FK-M5","-","Self-Aligning Rod Coupler"
"220","Mechanical","Bearing","-","-","-","-","Rod Type / Bobbin Placement On Table"
"221","Mechanical","Bearing","-","-","-","-","Rod Type / Bobbin Escapement @ Track"
"222","Mechanical","Bearing","-","-","-","-","Prosys Linear Motion Small"
"223","Mechanical","Bearing","-","-","-","-","Prosys Linear Motion Large"
"224","Mechanical","Bearing","F03C.B60.812","Deltron","N-1","-","Term Lift Bearing"
"250","Mechanical","Ball Detent","F03C.B51.063","Prosys","F207000000","-","Ball Detent Turntable Arbor"
"251","Mechanical","Dereeler Belt","F03C.B51.108","Fanuc","XGMF07746","-","O-RING 80MM ID,84MM OD,2MM WD"
"252","Mechanical","Dereeler Pig Tail","F03C.B43.401","Prosys","F2460360","-","Pink Ceramic Pig-Tail"
"253","Mechanical","Dereeler Big Felt Wheel","F03C.B42.979","Prosys","42480420","-","Dereeler Big Felt Wheel"
"254","Mechanical","Door Hinge Prosys","F03C.B43.507","Prosys","F5140170","-","Door Hinge Prosys"
"255","Mechanical","Door Lift Cyl. Prosys","F03C.B42.649","Prosys","F409000070","-","Door Lift Cyl. Prosys"
"256","Mechanical","Clevis","F03C.B62.106","Festo","6532 / SG M4","-","Cylinder Rod Clevis"
"300","Tooling","Gripper Insert","F03C.B60.702","-","VY00895UN651-CS","-","For Gripper Bobbin Track to Table"
"301","Tooling","Bobbin Gripper","F03C.B60.458","-","NU2468A02118","-","Bobbin Track to Table"
"302","Tooling","Bobbin Support Flange","F03C.B61.741","-","NU2477A01935","-","White / Delron"
"303","Tooling","Term. Rot. Gripper M","F03C.B59.808","-","NU2468A01985-CS","-","Term. Rot. Gripper Male"
"304","Tooling","Term. Rot. Gripper F","F03C.B59.809","-","NU2468A01986-CS","-","Term. Rot. Gripper Female"
"305","Tooling","Set Screw For Insert","F03C.B60.459","-","VY00895UN634","-","Set Screw For Gripper Insert 1587073"
"306","Tooling","Bobbin Gripper","F03C.B59.805","-","NU2499A00778","-","Bobbin Gripper Table > WPC"
"307","Tooling","Bobbin Gripper","F03C.B59.806","-","NU2477A01733","-","Bobbin Unload Gripper"
"308","Tooling","L Frame At Gripper","F03C.B59.807","-","NU2477A01734","-","Unload Gripper L Frame"
"309","Tooling","Bobbin Gripper Right","F03C.B59.211","-","3292041300","-","Assembly Sta. Bobbin Gripper Right"
"310","Tooling","Bobbin Gripper Left","F03C.B59.212","-","3292041310","-","Assembly Sta. Bobbin Gripper Left"
"311","Tooling","Yoke Gripper","F03C.B59.213","-","4292041320","-","Assembly Sta. Yoke Gripper"
"312","Tooling","Reject Gripper 1","-","-","NU2508A00876","-","Reject / Resistance Gripper 1"
"313","Tooling","Reject Gripper 2","-","-","NU2508A00877","-","Reject / Resistance Gripper 2"
"314","Tooling","Term Insert Jaw F","F03C.F14.160","-","NU2468A01990","-","Terminal Insert Jaw Female"
"315","Tooling","Term Insert Jaw M","F03C.F14.159","-","NU2468A01989","-","Terminal Insert Jaw Male"
"900","Other","Contact Cleaner","F00H.A20.103","LPS","3116","-","CLEANER:CONTACT 11 OZ CAN,CFC-FR"
"901","Other","Purging Compound","F00H.A20.192","Bellex","ASA CLEN EG","-","Purging Compound"
"902","Other","Stand. Alan Pack","F03C.B40.494","Bondhus","-","-","Stand. Alan Pack"
"903","Other","Metric Alan Pack","F03C.B40.493","Bondhus","-","-","Metric Alan Pack"
"904","Other","Metric Alan Pack (small)","F03C.B50.956","Count On Tool","WZG00032","-","Metric Alan Pack (small)"
"905","Other","X-Acto Knife","F03C.B43.732","X-Acto","HUNX3001","-","X-Acto Knife"
